closed_ts,account_id_hashed
2019-08-05 11:14:32.648000 UTC,/mS/VNpqy1fRhevqdXOtJ7ZbevlCEgQG8rpPVZR5PoB/+XnZ1O0Rj4tUGLVSV9ZdWLP24U7GUkL+4cgqklSxWQ==
2018-09-28 13:29:43.000000 UTC,/myKHk4LmUO9uHAOi96MX7HRSO2RqGmF1yelAB3ZvYUy+oh4wBjW0OS7o51VvBlOlFyt+w7vEEmF18KS1o3ORQ==
2020-07-19 18:11:44.567000 UTC,/ovkM8LcQe70tYVUnW9DhVOfxXvKlXFhmwFtlDUZhva/OVa/zip2IjyxIecrlmFXeF6iZBFiEAbs5T1ttleZdw==
2019-09-26 18:46:36.881000 UTC,/qIdrhyXS8CQbWkCdJCL69q+vTYknLCYj6wwfnXsaH/Z7/wYL9yTXJ4yv10+QqYzXmZ/3jIyk02Lw/uGfKRQjg==
2019-03-12 09:53:39.380000 UTC,/sKMbpy5+f+QN8ZUblzJznYcHu8m+6OnbETloLvmCmHZrb4NlJb4ZQ6ze0GSz/EhZW1x96NL5nqdDUqHrCcR2A==
2020-04-09 05:19:47.840000 UTC,/t/DB5WKwTISMLPeB+cM5mGmqJld8wDGMmQT6Khjk4eNL5x6VdQEODrcEmELIukGk7bz9MZsI29FYXDw1elsAQ==
2019-10-17 08:10:38.217000 UTC,/tE1RLjHgsKh7iiUL9k2CbChJ7w8DlXcNqYojuuKVp6IPuqiO7Kz4JLneg4PD5buo4nkBglzfGkWoZ4Gl24ueg==
2019-10-25 23:33:52.296000 UTC,/tz7GQu+c9TjzxU4kVQIHdE8iL0MzO6dNOEDBPMO9bm+wZ1RSlCLYWDr1QXtabF1glmqCDBiRb9fCEiSibR3ww==
2020-05-11 12:43:22.693000 UTC,/vgpzH7k08kvQruU0SgC5SyjXGkMOgK/4kfSvo75OsGVUP05jCGVoAkqcteCg3tSx94GKas4begMvuA6cr++qA==
2020-02-10 08:31:13.215000 UTC,/wBSKpK0vTbe3uAQPg7X0mBorupyqjkH1Pq8Buv1hQUYdxCi6zwvsfflLh4tMO3K7h0xQyHsxaClcmS4Cb10JQ==
2020-05-07 07:26:48.710000 UTC,/wUmZjo03R2P+gnWf/Yi4k0oPg8YmGwRYuO+Bgw8DB3afeMYMdhyghaKAOyPyi5d1QEtM8sGwBJGzs2gXrw2fQ==
2019-10-01 08:27:55.181000 UTC,/wfhzw2wYSyixiDskA6KzP2sp4EcGHE8pDe2VhGRrCXjmesXLxYDL92/bU3D3Z3aruBQRhp4O7GaMz4YCoRpRQ==
